timestamp,container_name,value
1750770921,ebpf-mon,116378
1750770922,ebpf-mon,138967
1750770923,ebpf-mon,126757
1750770925,ebpf-mon,129428
1750770926,ebpf-mon,138792
1750770927,ebpf-mon,108383
1750770928,ebpf-mon,106551
1750770929,ebpf-mon,128179
1750770931,ebpf-mon,87733
1750770932,ebpf-mon,94137
1750770933,ebpf-mon,134127
1750770934,ebpf-mon,139291
1750770935,ebpf-mon,148918
1750770937,ebpf-mon,130130
1750770938,ebpf-mon,151684
1750770939,ebpf-mon,134208
1750770940,ebpf-mon,144251
1750770941,ebpf-mon,131449
1750770943,ebpf-mon,132397
1750770944,ebpf-mon,113738
1750770945,ebpf-mon,138871
1750770946,ebpf-mon,128774
