timestamp,container_name,value
1750770921,ebpf-mon,16370
1750770922,ebpf-mon,14549
1750770923,ebpf-mon,17042
1750770925,ebpf-mon,16127
1750770926,ebpf-mon,15828
1750770927,ebpf-mon,15545
1750770928,ebpf-mon,18327
1750770929,ebpf-mon,17148
1750770931,ebpf-mon,16262
1750770932,ebpf-mon,16581
1750770933,ebpf-mon,16170
1750770934,ebpf-mon,16469
1750770935,ebpf-mon,16227
1750770937,ebpf-mon,15855
1750770938,ebpf-mon,15707
1750770939,ebpf-mon,16140
1750770940,ebpf-mon,16528
1750770941,ebpf-mon,16295
1750770943,ebpf-mon,16088
1750770944,ebpf-mon,17891
1750770945,ebpf-mon,15969
1750770946,ebpf-mon,16119
