timestamp,container_name,value
1750770921,ebpf-mon,64137512
1750770922,ebpf-mon,3929221
1750770923,ebpf-mon,4210293
1750770925,ebpf-mon,4229908
1750770926,ebpf-mon,4012999
1750770927,ebpf-mon,176622499
1750770928,ebpf-mon,3576963
1750770929,ebpf-mon,3991834
1750770931,ebpf-mon,3218501
1750770932,ebpf-mon,2662037
1750770933,ebpf-mon,3736473
1750770934,ebpf-mon,397576280
1750770935,ebpf-mon,4209585
1750770937,ebpf-mon,252336369
1750770938,ebpf-mon,1207673844
1750770939,ebpf-mon,12219390464
1750770940,ebpf-mon,4175004
1750770941,ebpf-mon,3854137
1750770943,ebpf-mon,1225326318
1750770944,ebpf-mon,1225342810
1750770945,ebpf-mon,4283539
1750770946,ebpf-mon,3989155
